dept_id,store_id,date,forecast,actual,model_name
FOODS_1,CA_1,2015-04-04,2568,2741.0,lstm
FOODS_1,CA_1,2015-04-11,2160,2500.0,lstm
FOODS_1,CA_1,2015-04-18,2073,2191.0,lstm
FOODS_1,CA_1,2015-04-25,2292,2606.0,lstm
FOODS_1,CA_1,2015-05-02,2545,2877.0,lstm
FOODS_1,CA_1,2015-05-09,2120,2535.0,lstm
FOODS_1,CA_1,2015-05-16,2114,2776.0,lstm
FOODS_1,CA_1,2015-05-23,2217,2747.0,lstm
FOODS_1,CA_1,2015-05-30,2710,3025.0,lstm
FOODS_1,CA_1,2015-06-06,2686,3002.0,lstm
FOODS_1,CA_1,2015-06-13,2563,2718.0,lstm
FOODS_1,CA_1,2015-06-20,2376,2544.0,lstm
FOODS_1,CA_1,2015-06-27,2657,2801.0,lstm
FOODS_1,CA_1,2015-07-04,2339,2878.0,lstm
FOODS_1,CA_1,2015-07-11,2545,2931.0,lstm
FOODS_1,CA_1,2015-07-18,2707,2523.0,lstm
FOODS_1,CA_1,2015-07-25,2460,2370.0,lstm
FOODS_1,CA_1,2015-08-01,2838,2788.0,lstm
FOODS_1,CA_1,2015-08-08,2761,2491.0,lstm
FOODS_1,CA_1,2015-08-15,2852,2170.0,lstm
FOODS_1,CA_1,2015-08-22,2487,2184.0,lstm
FOODS_1,CA_1,2015-08-29,2444,2343.0,lstm
FOODS_1,CA_1,2015-09-05,2455,2130.0,lstm
FOODS_1,CA_1,2015-09-12,2209,2134.0,lstm
FOODS_1,CA_1,2015-09-19,2205,2040.0,lstm
FOODS_1,CA_1,2015-09-26,2169,2096.0,lstm
FOODS_1,CA_1,2015-10-03,2443,2267.0,lstm
FOODS_1,CA_1,2015-10-10,2456,1852.0,lstm
FOODS_1,CA_1,2015-10-17,1896,1824.0,lstm
FOODS_1,CA_1,2015-10-24,1799,2112.0,lstm
FOODS_1,CA_1,2015-10-31,1984,1427.0,lstm
FOODS_1,CA_1,2015-11-07,1836,1709.0,lstm
FOODS_1,CA_1,2015-11-14,1720,1738.0,lstm
FOODS_1,CA_1,2015-11-21,1773,1810.0,lstm
FOODS_1,CA_1,2015-11-28,1816,1673.0,lstm
FOODS_1,CA_1,2015-12-05,2012,2123.0,lstm
FOODS_1,CA_1,2015-12-12,2428,2821.0,lstm
FOODS_1,CA_1,2015-12-19,2439,3116.0,lstm
